N,isPrime0_ms,isPrime1_ms,isPrime0_over_isPrime1_ratio
100000,145,2,72.500000
200000,545,5,109.000000
300000,1181,9,131.222222
400000,2115,13,162.692308
500000,3181,18,176.722222
600000,4504,23,195.826087
700000,6011,29,207.275862
800000,7811,34,229.735294
900000,9795,40,244.875000
1000000,11977,46,260.369565
